iter	Passed	Remaining
0	117	117126
1	120	60251
2	124	41389
3	128	31989
4	132	26334
5	136	22546
6	141	20084
7	146	18210
8	151	16664
9	155	15421
10	159	14329
11	162	13413
12	167	12683
13	171	12068
14	174	11441
15	178	10983
16	180	10438
17	182	9936
18	183	9488
19	185	9107
20	187	8750
21	189	8444
22	192	8167
23	194	7892
24	195	7628
25	197	7382
26	199	7177
27	201	6983
28	203	6817
29	205	6647
30	207	6483
31	209	6324
32	210	6176
33	212	6049
34	214	5918
35	217	5835
36	221	5758
37	223	5649
38	224	5542
39	227	5451
40	229	5363
41	232	5296
42	234	5212
43	236	5128
44	237	5046
45	239	4972
46	241	4899
47	244	4842
48	246	4782
49	248	4714
50	249	4648
51	251	4590
52	253	4532
53	255	4477
54	258	4445
55	260	4390
56	262	4340
57	264	4301
58	266	4257
59	269	4226
60	272	4193
61	274	4153
62	276	4119
63	279	4080
64	281	4045
65	284	4021
66	286	3995
67	289	3961
68	291	3932
69	293	3898
70	296	3882
71	299	3860
72	301	3829
73	303	3801
74	305	3769
75	307	3743
76	310	3719
77	312	3699
78	315	3672
79	317	3648
80	319	3622
81	321	3597
82	322	3568
83	325	3552
84	327	3529
85	330	3509
86	332	3488
87	334	3466
88	336	3449
89	340	3442
90	342	3422
91	344	3402
92	346	3381
93	348	3363
94	351	3346
95	355	3343
96	357	3324
97	359	3306
98	361	3288
99	363	3274
100	366	3266
101	369	3252
102	371	3236
103	373	3219
104	376	3205
105	378	3190
106	380	3176
107	382	3159
108	384	3143
109	386	3127
110	388	3111
111	390	3097
112	393	3085
113	395	3070
114	397	3055
115	399	3040
116	400	3022
117	402	3010
118	405	2999
119	407	2985
120	409	2977
121	411	2962
122	413	2950
123	416	2943
124	419	2935
125	422	2927
126	423	2913
127	425	2900
128	428	2891
129	430	2879
130	432	2871
131	435	2861
132	437	2848
133	439	2837
134	441	2827
135	443	2818
136	446	2810
137	448	2799
138	450	2789
139	452	2779
140	454	2769
141	456	2755
142	458	2749
143	460	2740
144	462	2729
145	464	2718
146	466	2709
147	468	2699
148	471	2691
149	473	2685
150	475	2675
151	477	2665
152	480	2659
153	482	2649
154	485	2645
155	487	2637
156	489	2630
157	491	2621
158	494	2613
159	496	2606
160	498	2597
161	500	2589
162	502	2581
163	504	2573
164	506	2565
165	509	2560
166	512	2554
167	514	2547
168	516	2539
169	518	2531
170	520	2524
171	522	2516
172	525	2513
173	528	2506
174	530	2498
175	532	2491
176	534	2485
177	536	2479
178	539	2473
179	541	2466
180	543	2459
181	545	2452
182	547	2445
183	549	2438
184	552	2435
185	554	2428
186	556	2421
187	558	2413
188	561	2407
189	563	2401
190	566	2397
191	568	2391
192	570	2383
193	571	2376
194	574	2370
195	576	2364
196	579	2361
197	581	2355
198	583	2349
199	585	2342
200	588	2337
201	590	2331
202	592	2327
203	595	2322
204	597	2316
205	599	2310
206	601	2303
207	603	2299
208	606	2293
209	608	2288
210	610	2283
211	612	2277
212	614	2271
213	618	2270
214	621	2267
215	623	2261
216	625	2255
217	627	2249
218	629	2243
219	631	2239
220	633	2234
221	636	2229
222	637	2222
223	640	2217
224	642	2212
225	644	2207
226	647	2203
227	649	2198
228	651	2193
229	653	2188
230	655	2182
231	658	2179
232	660	2174
233	662	2168
234	664	2163
235	666	2158
236	668	2152
237	671	2148
238	673	2143
239	675	2138
240	677	2133
241	679	2128
242	681	2122
243	683	2118
244	686	2114
245	688	2109
246	690	2103
247	692	2098
248	694	2093
249	696	2088
250	699	2086
251	701	2081
252	703	2076
253	705	2070
254	707	2065
255	709	2061
256	712	2058
257	714	2053
258	715	2048
259	718	2043
260	720	2038
261	722	2034
262	725	2033
263	727	2028
264	729	2023
265	732	2020
266	735	2018
267	737	2015
268	740	2012
269	742	2007
270	744	2002
271	746	1998
272	749	1994
273	751	1992
274	753	1987
275	755	1983
276	758	1978
277	760	1975
278	763	1972
279	765	1968
280	768	1966
281	770	1962
282	772	1957
283	775	1954
284	777	1951
285	779	1947
286	782	1943
287	784	1938
288	786	1934
289	789	1933
290	792	1929
291	794	1925
292	796	1921
293	797	1916
294	800	1913
295	802	1909
296	805	1905
297	807	1901
298	809	1897
299	811	1892
300	813	1889
301	816	1887
302	818	1882
303	820	1879
304	823	1875
305	825	1871
306	828	1871
307	831	1867
308	832	1862
309	834	1858
310	837	1854
311	839	1850
312	841	1846
313	843	1843
314	846	1839
315	848	1835
316	850	1832
317	852	1828
318	854	1825
319	857	1823
320	859	1818
321	861	1814
322	864	1811
323	866	1807
324	869	1806
325	872	1803
326	874	1799
327	876	1794
328	878	1790
329	880	1787
330	882	1784
331	885	1781
332	887	1777
333	889	1773
334	891	1769
335	894	1766
336	896	1764
337	898	1760
338	901	1757
339	903	1753
340	905	1749
